Document_Name,Title,Keywords,Url,Date,Description,Cleaned_text,Raw_html,Relation
r0_mdr_aug_2021.txt,,None,https://web.archive.org/web/20210808180803/https://www.mdr.de/nachrichten/sachsen-anhalt/magdeburg/harz/zweitausend-menschen-bei-rocken-am-brocken-100.html,None,None,"

",b'<html><body><h1>503 Service Unavailable</h1>\nNo server is available to handle this request.\n</body></html>\n',e0_mdr_aug_2021.txt; 
e0_mdr_aug_2021.txt,,None,https://web.archive.org/web/20211027215931/https://www.mdr.de/nachrichten-leicht/ls-sachsen-anhalt-harz-festival-rocken-am-brocken-100.html,None,None,"

",b'<html><body><h1>503 Service Unavailable</h1>\nNo server is available to handle this request.\n</body></html>\n',r0_mdr_aug_2021.txt; 
r1_mdr_aug_2021.txt,,None,https://web.archive.org/web/20210809131724/https://www.mdr.de/nachrichten/thueringen/spontane-impfaktionen-resonanz-100.html,None,None,"

",b'<html><body><h1>503 Service Unavailable</h1>\nNo server is available to handle this request.\n</body></html>\n',e1_mdr_aug_2021.txt; 
e1_mdr_aug_2021.txt,,None,https://web.archive.org/web/20210818030239/https://www.mdr.de/nachrichten-leicht/ls-thueringen-sonder-impftag-100.html,None,None,"

",b'<html><body><h1>503 Service Unavailable</h1>\nNo server is available to handle this request.\n</body></html>\n',r1_mdr_aug_2021.txt; 
r2_mdr_aug_2021.txt,,None,https://web.archive.org/web/20211030193926/https://www.mdr.de/nachrichten/sachsen/hochwasser-schadenbilanz-erzgebirge-elbsandsteingebirge-100.html,None,None,"

",b'<html><body><h1>503 Service Unavailable</h1>\nNo server is available to handle this request.\n</body></html>\n',e2_mdr_aug_2021.txt; 
e2_mdr_aug_2021.txt,,None,https://web.archive.org/web/20211022195607/https://www.mdr.de/nachrichten-leicht/ls-sachsen-schadensbilanz-unwetter-erzgebirge-elbsandsteingebirge-100.html,None,None,"

",b'<html><body><h1>503 Service Unavailable</h1>\nNo server is available to handle this request.\n</body></html>\n',r2_mdr_aug_2021.txt; 
r3_mdr_aug_2021.txt,,None,https://web.archive.org/web/20210812033904/https://www.mdr.de/nachrichten/deutschland/wirtschaft/streiks-deutsche-bahn-begonnen-100.html,None,None,"

",b'<html><body><h1>503 Service Unavailable</h1>\nNo server is available to handle this request.\n</body></html>\n',e3_mdr_aug_2021.txt; 
e3_mdr_aug_2021.txt,,None,https://web.archive.org/web/20211022031302/https://www.mdr.de/nachrichten-leicht/ls-Wegen-einem-Streik-fahren-viele-Zuege-in-Ost-Deutschland-nicht100.html,None,None,"

",b'<html><body><h1>503 Service Unavailable</h1>\nNo server is available to handle this request.\n</body></html>\n',r3_mdr_aug_2021.txt; 
r4_mdr_aug_2021.txt,,None,https://web.archive.org/web/20211024154617/https://www.mdr.de/nachrichten/sachsen-anhalt/corona-virus-pandemie-covid-bund-laender-beratungen-kaum-auswirkungen-100.html,None,None,"

",b'<html><body><h1>503 Service Unavailable</h1>\nNo server is available to handle this request.\n</body></html>\n',e4_mdr_aug_2021.txt; 
e4_mdr_aug_2021.txt,,None,https://web.archive.org/web/20211027224901/https://www.mdr.de/nachrichten-leicht/corona-massnahmen-kaum-aenderungen-fuer-sachsen-anhalt-100.html,None,None,"

",b'<html><body><h1>503 Service Unavailable</h1>\nNo server is available to handle this request.\n</body></html>\n',r4_mdr_aug_2021.txt; 
r5_mdr_aug_2021.txt,,None,https://web.archive.org/web/20210826052235/https://www.mdr.de/nachrichten/sachsen/corona-familienimpftage-impfung-kinder-eltern-100.html,None,None,"

",b'<html><body><h1>503 Service Unavailable</h1>\nNo server is available to handle this request.\n</body></html>\n',e5_mdr_aug_2021.txt; 
e5_mdr_aug_2021.txt,,None,https://web.archive.org/web/20211023153315/https://www.mdr.de/nachrichten-leicht/ls-sachsen-mehr-impfangebote-fuer-familien-100.html,None,None,"

",b'<html><body><h1>503 Service Unavailable</h1>\nNo server is available to handle this request.\n</body></html>\n',r5_mdr_aug_2021.txt; 
r6_mdr_aug_2021.txt,,None,https://web.archive.org/web/20211014145208/https://www.mdr.de/nachrichten/sachsen-anhalt/halle/halle/catcalls-kampf-gegen-belaestigung-kreide-instagram-verein-100.html,None,None,"

",b'<html><body><h1>503 Service Unavailable</h1>\nNo server is available to handle this request.\n</body></html>\n',e6_mdr_aug_2021.txt; 
e6_mdr_aug_2021.txt,,None,https://web.archive.org/web/20211024150456/https://www.mdr.de/nachrichten-leicht/ls-sechs-Frauen-aus-Halle-machen-sich-stark-gegen-sexuelle-Belaestigung100.html,None,None,"

",b'<html><body><h1>503 Service Unavailable</h1>\nNo server is available to handle this request.\n</body></html>\n',r6_mdr_aug_2021.txt; 
